Program Name,ole5
Description,Main Pump
Employee ID,1437
Comp Set,4500
Input Factor,11
Input Factor Type,cu/in
Serial Number,170036
Customer ID,123456

Date,Time,S1,SP,TP,Cycle,Cycle Timer,LCSetpoint,LC Regulate,Step,F1,F2,F3,T1,T3,P1,P2,P3,P4,P5
2026-02-18,18:13:45,1191,1200,1000,2,0,2000,0,159,56.09,1008.0,20715,1408,781,439,283,565,0,2117
2026-02-18,18:13:50,1182,1200,1000,2,0,2000,0,156,56.49,1002.0,20715,1408,781,398,284,565,0,2140
2026-02-18,18:13:55,1219,1200,456,3,5725,2000,0,160,0.20,1026.0,182,1414,779,457,286,447,0,457
2026-02-18,18:14:25,1234,1200,294,3,2658,3000,0,157,0.40,1044.0,182,1422,793,457,283,443,0,445
2026-02-18,18:14:30,1174,1200,894,3,2258,3000,0,157,0.20,1062.0,182,1418,795,2492,284,633,0,392
2026-02-18,18:14:35,1202,1200,1000,3,1725,3000,0,159,55.08,1011.0,20715,1422,793,2932,281,632,0,422
2026-02-18,18:14:40,1197,1200,1000,3,1191,3000,0,159,55.08,1005.0,20715,1422,795,3049,286,640,0,398
2026-02-18,18:14:45,1073,1200,0,3,658,3000,0,152,53.86,1131.0,20715,1422,793,967,281,505,0,557
2026-02-18,18:14:50,1212,1200,360,3,258,3000,0,157,0.20,1017.0,81,1422,793,457,282,447,0,451
2026-02-18,18:14:55,1200,1200,1000,3,0,3000,0,157,42.12,1005.0,20614,1424,791,445,283,632,0,2803
2026-02-18,18:15:00,1193,1200,1000,3,0,3000,0,159,55.89,1011.0,20715,1420,795,498,284,633,0,2862
2026-02-18,18:15:05,1187,1200,1000,3,0,3000,0,159,55.48,999.0,20715,1426,793,381,285,632,0,3020
2026-02-18,18:15:10,1178,1200,1000,4,0,3000,0,135,55.68,1032.0,20715,1426,793,381,284,634,0,3085
2026-02-18,18:15:15,1193,1200,56,4,5525,3000,0,109,0.40,996.0,182,1428,808,445,285,446,0,457
